drawdown_trigger,vix_min,fwd_days,ticker,n,mean,median,win_rate,outperf_rate_vs_spx,spx_mean,spx_median,spx_win_rate
-0.1,25.0,126,EIDO,15.0,0.0643157847301007,0.004521906914976448,0.6,0.42857142857142855,0.06608279611777669,0.058332948139670604,0.6956521739130435
-0.1,25.0,126,EPU,16.0,0.15793022524779718,0.12062448044800789,0.75,0.6,0.06608279611777669,0.058332948139670604,0.6956521739130435
-0.1,25.0,126,EWW,23.0,0.122418057611888,0.1537492095920998,0.7391304347826086,0.6521739130434783,0.06608279611777669,0.058332948139670604,0.6956521739130435
-0.1,25.0,126,EWZ,23.0,0.1485153645977537,0.0812229771463866,0.6956521739130435,0.5217391304347826,0.06608279611777669,0.058332948139670604,0.6956521739130435
-0.1,25.0,126,INDA,11.0,0.004066195918775813,-0.027057317905604616,0.45454545454545453,0.4,0.06608279611777669,0.058332948139670604,0.6956521739130435
-0.1,25.0,126,KSA,10.0,0.0017296556776771888,-0.019697518516106793,0.4,0.3333333333333333,0.06608279611777669,0.058332948139670604,0.6956521739130435
-0.1,25.0,126,QAT,11.0,0.008524788014568513,0.05525829607796129,0.5454545454545454,0.2,0.06608279611777669,0.058332948139670604,0.6956521739130435
-0.1,25.0,126,UAE,11.0,-0.021915314453517465,-0.03625863873270274,0.18181818181818182,0.2,0.06608279611777669,0.058332948139670604,0.6956521739130435
-0.1,25.0,126,VNM,16.0,-0.019167813151941937,0.035489852150574874,0.625,0.2,0.06608279611777669,0.058332948139670604,0.6956521739130435
-0.1,25.0,252,ECH,23.0,0.17598988536277177,0.19479612866217266,0.7391304347826086,0.6086956521739131,0.0902241778340706,0.15043369450425348,0.7391304347826086
-0.1,25.0,252,EIDO,15.0,0.13478847322751827,0.04114027271109877,0.7333333333333333,0.42857142857142855,0.0902241778340706,0.15043369450425348,0.7391304347826086
-0.1,25.0,252,EPU,16.0,0.23021977710501712,0.17010427529297367,0.875,0.6,0.0902241778340706,0.15043369450425348,0.7391304347826086
-0.1,25.0,252,EWW,23.0,0.17104163471896117,0.20098466220682276,0.7391304347826086,0.6086956521739131,0.0902241778340706,0.15043369450425348,0.7391304347826086
-0.1,25.0,252,EWZ,23.0,0.20151787819156428,0.08812223858206436,0.6086956521739131,0.4782608695652174,0.0902241778340706,0.15043369450425348,0.7391304347826086
-0.1,25.0,252,INDA,11.0,0.08140284545174634,0.035198820259769725,0.7272727272727273,0.1,0.0902241778340706,0.15043369450425348,0.7391304347826086
-0.1,25.0,252,KSA,10.0,0.058150835675446357,-0.023397838808191462,0.5,0.2222222222222222,0.0902241778340706,0.15043369450425348,0.7391304347826086
-0.1,25.0,252,QAT,11.0,0.002829322743697576,-0.027465233802448696,0.45454545454545453,0.1,0.0902241778340706,0.15043369450425348,0.7391304347826086
-0.1,25.0,252,UAE,11.0,0.015358037016942756,-0.039610871639306766,0.36363636363636365,0.1,0.0902241778340706,0.15043369450425348,0.7391304347826086
-0.1,25.0,252,VNM,16.0,-0.032848235694563965,-0.06103993072786684,0.375,0.13333333333333333,0.0902241778340706,0.15043369450425348,0.7391304347826086
-0.15,25.0,63,ECH,18.0,0.1361813401821349,0.12705331422327282,0.8888888888888888,0.6111111111111112,0.07649541281703345,0.08152634905334777,0.7222222222222222
-0.15,25.0,63,EIDO,11.0,0.08629689280479162,0.06783576048393947,0.9090909090909091,0.4,0.07649541281703345,0.08152634905334777,0.7222222222222222
-0.15,25.0,63,EPU,13.0,0.13309526558428464,0.11714822531903568,0.9230769230769231,0.75,0.07649541281703345,0.08152634905334777,0.7222222222222222
-0.15,25.0,63,EWW,18.0,0.11782355299808372,0.1161717500477446,0.8888888888888888,0.6666666666666666,0.07649541281703345,0.08152634905334777,0.7222222222222222
-0.15,25.0,63,EWZ,18.0,0.20247143614307536,0.18937804847176265,0.9444444444444444,0.7777777777777778,0.07649541281703345,0.08152634905334777,0.7222222222222222
-0.15,25.0,63,INDA,8.0,0.03178882299339633,0.023215494628325506,0.75,0.42857142857142855,0.07649541281703345,0.08152634905334777,0.7222222222222222
-0.15,25.0,63,KSA,8.0,0.04093691822634117,0.029388128618696552,0.625,0.42857142857142855,0.07649541281703345,0.08152634905334777,0.7222222222222222
-0.15,25.0,63,QAT,8.0,0.045370183224899815,0.031066352997363156,0.75,0.2857142857142857,0.07649541281703345,0.08152634905334777,0.7222222222222222
-0.15,25.0,63,UAE,8.0,0.043834482812108194,0.030707921196186483,0.625,0.2857142857142857,0.07649541281703345,0.08152634905334777,0.7222222222222222
-0.15,25.0,63,VNM,12.0,0.03294913930541136,0.03368579037778724,0.5,0.2727272727272727,0.07649541281703345,0.08152634905334777,0.7222222222222222
