,ECH,EIDO,EPU,EWW,EWZ,INDA,KSA,QAT,UAE,VNM
2011-04-30,0.0890867098841972,0.03350116098649902,-0.08285521049186328,0.023229771324096093,0.0027095126985345885,,,,,0.007164165934995248
2011-05-31,-0.015848710169748537,0.029173148915191627,0.050830654798324604,-0.030321560047113283,-0.032166620068444396,,,,,-0.143514943881077
2011-06-30,-0.008402092141129969,0.013883387698989225,-0.13143423520113473,0.01044502979488815,-0.009898215263888677,,,,,0.019052226339409284
2011-07-31,-0.07655608550674753,0.06904068853289358,0.14080606461056822,-0.011988709957423516,-0.037900168846361715,,,,,-0.06327881452487649
2011-08-31,-0.028735266318724917,-0.039742857395529185,-0.025874223223159576,-0.049021031406430327,-0.0718435967287877,,,,,-0.007676686574171643
2011-09-30,-0.21301788675894306,-0.2136335599789242,-0.15904150540135864,-0.16672349816461296,-0.2059544012902802,,,,,-0.11036606664855086
2011-11-30,-0.06425945253454546,0.0010055581677486103,0.038237786322304235,-0.004522546489382551,-0.05371196391919253,,,,,-0.12089709582689678
2011-12-31,-0.01757973072629959,-0.012173875103312692,-0.05534236499786349,-0.016522950957401417,-0.0202105875062516,,,,,-0.08493827001902265
2012-01-31,0.07814962585888252,0.03616511029269187,0.1269218856281964,0.08203122962451492,0.14305612318652505,,,,,0.1752575527756739
2012-02-29,0.09128869961478925,-0.016463694818234953,0.014107201996042207,0.020113597004412398,0.05457334488285248,,,,,0.1204679149251795
2012-03-31,0.005891073632411592,0.03582196134305371,0.06499427965727778,0.053589431497063966,-0.06533664360246816,-0.0442307628936085,,,,-0.0010437883456897445
2012-04-30,-0.013909267385974644,-0.0003232868412536005,-0.01584553144412948,-0.010876431095992456,-0.06804865558347861,-0.04869219635549149,,,,0.09038650993841957
2012-05-31,-0.11581276762130077,-0.13255743019112798,-0.077361554846899,-0.11901696679493845,-0.1364085993003672,-0.12013536662056368,,,,-0.13033059173330164
2012-06-30,0.047262311397962,0.07800802933317708,0.018886558730885072,0.13903158849139108,0.013282558799486699,0.088824606604885,,,,0.012121400903322366
2012-07-31,-0.004065530567093245,0.0391063795555493,-0.04587433214929937,0.011228484521645044,0.014506794932192868,-0.021276657661546516,,,,-0.03919459274284709
2012-08-31,-0.018615569673164467,-0.0473792577490435,0.009389248166492559,-0.012230686782851663,0.005148037907336311,0.014492829752587033,,,,-0.033994196312758795
2012-09-30,0.033610603884204115,0.053615352557558005,0.08544675269066904,0.06533067124423075,0.025416821645516396,0.13392847111574757,,,,-0.05865111275834789
2012-11-30,-0.024207923112006702,-0.017060449158758706,0.0036109947868470105,0.026400340860019078,-0.03317718998510244,0.0416667810141611,,,,-0.010786755919203639
2012-12-31,0.05442813969715732,0.012471410857043397,0.04816521387696793,0.05120834226233528,0.09480196201161717,0.018640574151814304,,,,0.17968458462593562
2013-01-31,0.0585073348287215,0.01718452710397278,0.010026804863181749,0.043811443284438756,0.014837559897821428,0.035074392325501025,,,,0.18888884995840782
2013-02-28,-0.012698184860841955,0.10818695347541762,-0.030211725814933366,-0.031241616224691904,-0.028888415839851134,-0.07882144850932371,,,,0.0014016950679327511
2013-03-31,-0.017854418240355163,0.02140145433564533,-0.010903496748602581,0.04584953537021108,-0.011790526010293956,0.005198323173492669,,,,-0.04759658813398615
2013-04-30,-0.03343079688133488,0.02095302904142171,-0.10438700215238705,-0.030030528511320043,0.012298289340763269,0.0552902523019434,,,,-0.044096090630734386
2013-05-31,-0.08766340311256804,-0.049479881202651566,-0.09280409099785536,-0.05542529311216926,-0.07724367333517779,-0.05427816103691874,,,,0.08252176081700746
2013-06-30,-0.0491128672419866,-0.06624945637998991,-0.04364314054086116,-0.03805458994219979,-0.12132858846619432,-0.06416917566800606,,,,-0.11931818309868991
2013-07-31,-0.09592879199296522,-0.06993892200423346,-0.059013605252876467,0.012566871916776412,-0.008207970622474359,-0.029812523591829843,,,,0.008064346386686294
2013-08-31,-0.026526807262103214,-0.20593293380461042,0.062305509155169414,-0.06810962249546926,-0.02551745373607517,-0.10579461166219528,,,,-0.0799999796915064
2013-09-30,0.05978009916246463,0.02476083268210094,-0.0428972066683635,0.03768077184817731,0.13021927156132573,0.09425632027798247,,,,0.03826095282428099
2013-11-30,-0.05076973886002012,-0.10007786371768523,-0.09477559457516904,0.02735750302845985,-0.0639953547239801,-0.018488562115008933,,,,0.03161224962055442
2013-12-31,0.0015252196953290387,-0.008448575977870854,0.06522014545341404,0.02497664938532096,-0.03561779472418736,0.04061254774794576,,,,-0.009108227408683778
2014-01-31,-0.1448117138371029,0.01576199954466473,-0.03565057682171202,-0.07514688799829661,-0.12175469805385153,-0.05613881270821308,,,,0.12134120735181808
2014-02-28,0.07777506581957949,0.10172422593390773,0.02957475430586287,-0.04086496327873179,0.04485262737736928,0.038083007261025204,,,,0.03749436908973203
2014-03-31,0.04019152515600455,0.0813769955711321,-0.03351285648572011,0.06017900750811633,0.09853621564937098,0.08944740259174377,,,,-0.007777095126336175
2014-04-30,0.010537870367990365,0.0014472340370228487,0.07027880112397233,-0.0010949106430102606,0.04440510383614793,-0.0018917620196365892,,,,-0.07422782272697281
2014-05-31,0.01824896788605046,-0.009754242527627466,0.012540033958001295,0.036631307556135306,-0.011692337552488663,0.07922676759543923,,,,0.009462257718681588
