,SPX,SPX_ret,SPX_6m,VIX_avg,Brent_6m,Gold,US_down,Risk_off,Energy_up
2010-03-31,1152.05,0.05774174593264525,0.1409485704099116,17.767391304347825,0.2210574293527805,1113.337,False,False,True
2010-04-30,1197.32,0.03929516948049128,0.1462543679096262,17.424285714285716,0.15058069683620356,1148.688,False,False,True
2010-05-31,1125.06,-0.06035145157518462,0.03399597452369796,31.9295,-0.06133470489906123,1205.434,False,True,False
2010-06-30,1083.36,-0.037064689883206325,-0.024334011779751252,29.916363636363634,-0.03812090874085483,1232.92,False,True,False
2010-07-31,1079.8,-0.003286072958204045,-0.03896473771338038,25.565238095238094,0.08848314606741559,1192.966,False,True,False
2010-08-31,1087.28,0.006927208742359747,-0.0017261008483603346,24.74590909090909,-0.011131482451545271,1215.81,False,False,False
2010-09-30,1122.08,0.03200647487307773,-0.026014495898615486,22.517619047619046,0.004976981460743879,1270.977,False,False,False
2010-11-30,1198.89,0.06845322971624146,0.0013112618180604052,20.095714285714287,0.1783561643835616,1369.886,False,False,True
2010-12-31,1241.53,0.0355662320980239,0.1035233676426146,17.56954545454545,0.24406191619962647,1390.553,False,False,True
2011-01-31,1207.22,-0.027635256498030558,0.11432949342785426,17.3155,0.27703225806451615,1360.46,False,False,True
2011-02-28,1321.12,0.09434900018223669,0.22348583070939054,17.43,0.48682293735929005,1374.68,False,False,True
2011-03-31,1304.49,-0.012587804287271354,0.19977374733279385,20.723478260869566,0.4478147827163552,1423.26,False,False,True
2011-04-30,1331.51,0.02071307560809199,0.1866444460288037,16.244,0.5349824178489149,1480.89,False,False,True
2011-05-31,1338.31,0.00510698380034702,0.11629090241806983,16.91142857142857,0.3622413392234365,1512.58,False,False,True
2011-06-30,1287.29,-0.03812270699613696,0.03685774810113318,19.153181818181817,0.1982194572562479,1529.36,False,False,True
2011-07-31,1325.19,0.029441695344483376,0.09772038236609726,19.2275,0.17136506011922803,1572.75,False,False,True
2011-08-31,1185.31,-0.10555467517865369,-0.10279914012353153,35.02913043478261,0.03749888661263023,1759.01,True,True,False
2011-09-30,1173.88,-0.00964304696661622,-0.10012341988056628,36.53,-0.09851205746536684,1772.14,True,True,False
2011-11-30,1226.42,0.044757556138617094,-0.07892543052624457,31.94190476190476,-0.05086192182966387,1739.0,True,True,False
2011-12-31,1243.32,0.013779944880220274,-0.0709775761968453,25.047619047619047,-0.0324053352430399,1639.97,True,True,False
2012-01-31,1437.82,0.15643599395167773,0.11693557784182262,20.228,-0.048908824290520125,1654.05,False,False,False
2012-02-29,1352.49,-0.059346788888734237,0.020600819505127488,18.4205,0.049364697802197766,1744.82,False,False,False
2012-03-31,1389.24,0.0271721047845086,0.1720478187140917,16.167272727272728,0.17065073041168644,1675.95,False,False,True
2012-04-30,1386.43,-0.0020226886643056607,0.18106620778955262,17.823,0.09434658304897159,1649.2,False,False,False
2012-05-31,1341.27,-0.03257286700374351,0.09364654849072895,21.001818181818184,-0.06617514835461247,1589.04,False,False,False
2012-06-30,1323.48,-0.013263548726207275,0.06447254126049606,21.13095238095238,-0.12878157091312792,1598.76,False,False,False
2012-07-31,1359.78,0.027427690633783586,-0.05427661320610366,17.565238095238094,-0.0392708144385997,1594.29,True,False,False
2012-08-31,1403.45,0.03211548927032326,0.037678651967851806,15.689565217391305,-0.06790476969647385,1630.31,False,False,False
2012-09-30,1443.42,0.028479817592361734,0.03899974086550917,15.284736842105264,-0.09764200632039544,1744.81,False,False,False
2012-11-30,1394.51,-0.03388480137451333,0.005827917745576672,16.701904761904764,0.06720585403427703,1721.64,False,False,False
2012-12-31,1422.29,0.019920975826634324,0.060405436638409915,17.307,0.1765955187426993,1684.762,False,False,True
2013-01-31,1720.03,0.20933846121395772,0.299626741620576,13.505238095238095,0.09081468894552991,1671.848,False,False,False
2013-02-28,1512.31,-0.12076533548833457,0.11217255732544973,14.072631578947368,-0.015184762573510091,1627.57,False,False,False
2013-03-31,1550.83,0.02547096825386319,0.10501264740461003,13.0315,-0.02604166666666674,1593.086,False,False,False
2013-04-30,1570.7,0.012812493954849957,0.08817946266505938,13.967272727272727,-0.07607607607607603,1487.857,False,False,False
2013-05-31,1639.84,0.04401859043738443,0.1759255939362212,13.493636363636364,-0.0939191627571273,1414.027,False,False,False
2013-06-30,1618.77,-0.012848814518489515,0.1381434166028026,17.2715,-0.07500000000000007,1343.35,False,False,False
2013-07-31,1668.68,0.030832051495888857,-0.02985413045121299,13.974545454545455,-0.06629164863695369,1285.516,False,False,False
2013-08-31,1670.09,0.000844979265047785,0.10433046134721047,14.21,0.03360071301247758,1351.742,False,False,False
2013-09-30,1687.17,0.010226993754827607,0.08791421367912666,14.692000000000002,-0.005624193250968079,1348.6,False,False,False
2013-11-30,1783.54,0.05711931814814153,0.13550646208696748,12.924000000000001,0.10594443891267535,1275.86,False,False,True
2013-12-31,1807.78,0.013590948338697117,0.10241243048102255,14.192380952380953,0.07278758903307647,1221.512,False,False,False
2014-01-31,1937.27,0.0716292911748111,0.19675432581527952,14.24095238095238,0.0025025488923904327,1244.27,False,False,False
2014-02-28,1817.04,-0.06206156085625647,0.08890859841311682,15.47,-0.06027420884711554,1299.58,False,False,False
2014-03-31,1863.52,0.025580064280368076,0.11582010550329636,14.836666666666666,-0.0176170607324988,1336.08,False,False,False
2014-04-30,1864.26,0.0003970979651413131,0.1049627482707729,14.19809523809524,0.01022970333860318,1298.45,False,False,False
2014-05-31,1889.77,0.013683713645092466,0.05956132186550356,12.475238095238096,-0.016746196092554233,1288.74,False,False,False
2014-06-30,1947.09,0.0303317334913773,0.07706136808682462,11.541428571428572,0.00982264665757171,1279.1,False,False,False
2014-07-31,1973.1,0.013358396376130566,0.018495098773015695,12.296363636363635,-0.029770710059171535,1310.59,False,False,False
2014-08-31,1961.53,-0.005863869038568725,0.0795194382071942,13.491904761904761,-0.0721233253808038,1295.13,False,False,False
2014-09-30,1993.23,0.016160854027213567,0.06960483386279726,13.466666666666667,-0.10646531382727698,1236.55,False,False,False
2014-11-30,2044.57,0.02575718808165628,0.09671934172272101,13.413157894736841,-0.3417269480816775,1175.33,False,False,False
2014-12-31,2054.27,0.0047442738570946386,0.08704763013488415,16.292272727272728,-0.5022066108259029,1200.62,False,False,False
2015-01-31,2024.81,-0.014340860743719208,0.03991597717619633,19.1195,-0.5471698113207546,1250.75,False,False,False
2015-02-28,2082.2,0.028343400121492834,0.05529370026861269,15.90421052631579,-0.3879549050632911,1227.08,False,False,False
2015-03-31,2079.99,-0.001061377389299789,0.060391633061946504,14.812727272727273,-0.4328720819689448,1178.63,False,False,False
2015-04-30,2094.86,0.007149072832081105,0.050987593002312925,13.494761904761905,-0.24082214565759774,1198.93,False,False,False
2015-05-31,2111.94,0.008153289479965187,0.03295069378891413,13.3385,-0.12143552649881773,1198.63,False,False,False
2015-06-30,2099.29,-0.005989753496784989,0.021915327585955158,14.339545454545457,0.09118870996924189,1181.5,False,False,False
2015-07-31,2094.14,-0.002453210371125558,0.03424024970244122,14.352727272727272,0.12142255892255882,1128.31,False,False,True
2015-08-31,2039.87,-0.025915172815571097,-0.020329459225818858,19.42809523809524,-0.22491517207949585,1117.93,False,False,False
2015-09-30,1944.41,-0.04679709981518421,-0.06518300568752722,24.377142857142857,-0.11920283106723784,1124.77,True,False,False
2015-11-30,2080.62,0.07005209806573709,-0.0067975902924301,16.21,-0.3076314122862571,1086.44,False,False,False
2015-12-31,2054.08,-0.012755813171073993,-0.02739661164616425,18.025454545454547,-0.39296965677333784,1075.74,False,False,False
2016-01-31,2143.02,0.043299189904969726,0.02083085233578963,23.717894736842105,-0.37811972227434787,1097.91,False,False,False
2016-02-29,1904.42,-0.11133820496308944,-0.0905956621811339,22.517,-0.25119866583281214,1199.5,True,False,False
2016-03-31,2021.95,0.061714327721825946,-0.008784873545863103,15.84909090909091,-0.2228801015013745,1245.14,False,False,False
2016-04-30,2075.54,0.026504117312495357,0.06743948035650904,14.300476190476191,-0.04916666666666669,1242.26,False,False,False
2016-05-31,2065.55,-0.004813205238154761,-0.0072430333266044755,14.852857142857141,0.12645780928424433,1260.95,False,False,True
2016-06-30,2083.89,0.00887899106775425,0.014512579841096773,17.774545454545457,0.3124829281617043,1276.4,False,False,True
2016-07-31,2148.9,0.03119646430473777,0.0027437914718482226,13.1585,0.22993361496680742,1336.66,False,False,True
2016-08-31,2170.95,0.010261063800083736,0.1399533716302075,12.399565217391304,0.334632516703786,1340.17,False,False,True
2016-09-30,2157.69,-0.006107925101913825,0.06713321298746266,14.21952380952381,0.31265306122448977,1326.61,False,False,True
2016-11-30,2164.99,0.003383247825220259,0.04309721807336886,15.236190476190476,-0.026593585058871216,1238.35,False,False,False
2016-12-31,2246.63,0.037709181104762735,0.0876667231487982,12.472380952380954,0.14380853277835604,1157.36,False,False,True
2017-01-31,2275.12,0.012681215865540718,0.09176588015682219,11.6085,0.35549558390579006,1192.1,False,False,True
2017-02-28,2329.91,0.02408224621118893,0.08423379403415687,11.530526315789475,0.11305798915310805,1234.2,False,False,True
2017-03-31,2366.82,0.015841813632286428,0.09022317418641634,11.89782608695652,0.08208955223880587,1231.42,False,False,False
2017-04-30,2359.31,-0.003173033859778185,0.09344252418095267,13.136315789473684,0.0705627705627705,1266.88,False,False,False
2017-05-31,2395.35,0.01527565262725128,0.10640233904082708,10.862272727272726,0.03023983315954104,1246.04,False,False,False
2017-06-30,2433.99,0.016131254305216336,0.08339601981634703,10.513636363636364,-0.14337700145560417,1260.26,False,False,False
2017-07-31,2454.1,0.00826215391188967,0.07866837793171344,10.2645,-0.059004524886877796,1236.84,False,False,False
2017-08-31,2456.22,0.0008638604783830495,0.054212394470172676,11.975652173913044,-0.012556221889055474,1283.04,False,False,False
2017-09-30,2492.84,0.014909087948148159,0.05324443768431908,10.437999999999999,0.09233716475095788,1314.07,False,False,False
2017-11-30,2593.61,0.04042377368784189,0.09930869618659699,10.54047619047619,0.28603238866396774,1281.9,False,False,True
2017-12-31,2664.34,0.027270869560188205,0.11229674160352365,10.2645,0.4173746813933732,1264.45,False,False,True
2018-01-31,2789.8,0.04708858479022959,0.14618383806014013,11.062380952380952,0.30371225235622235,1331.3,False,False,True
2018-02-28,2705.16,-0.030339092408057988,0.10230226967116263,22.464736842105264,0.25412791801100787,1330.73,False,False,True
2018-03-31,2702.77,-0.0008834967247778325,0.10037781631938514,19.023809523809526,0.21045247281655555,1324.66,False,False,True
2018-04-30,2653.63,-0.01818134728445253,0.06450073009098056,18.267619047619046,0.23748981255093726,1334.76,False,False,True
2018-05-31,2701.49,0.018035671890956895,0.041594534259198346,14.124545454545455,0.20336848732882107,1303.45,False,False,True
2018-06-30,2754.35,0.019566979703793175,0.033783225864566724,13.678095238095239,0.16049752734901834,1281.57,False,False,True
2018-07-31,2793.64,0.014264708551926963,0.0013764427557529935,13.147619047619049,0.09412806137503682,1237.71,False,False,False
2018-08-31,2857.82,0.022973611488953605,0.056432891215307146,12.54695652173913,0.16434624697336564,1201.71,False,False,True
2018-09-30,2901.5,0.015284377602508226,0.07352826914609834,12.910526315789474,0.19849319037960012,1198.39,False,False,True
2018-11-30,2723.23,-0.06144063415474754,0.026228223226297587,19.38904761904762,-0.2451275343361674,1220.65,False,False,False
2018-12-31,2567.31,-0.05725553845984366,-0.04966888642934075,24.953157894736844,-0.3469783057851239,1250.4,False,False,False
2019-01-31,2977.68,0.1598443507017071,0.08108265107920198,19.57238095238095,-0.15776699029126207,1291.75,False,False,False
2019-02-28,2754.86,-0.07483006904704326,-0.013881530905914818,15.234736842105262,-0.15479594489212367,1320.07,False,False,False
2019-03-31,2803.98,0.017830307166244452,-0.018839535030197863,14.485238095238095,-0.1787959381044486,1300.9,False,False,False
2019-04-30,2903.8,0.03559939799855916,0.000792693434430447,12.949047619047619,-0.03540887226082312,1285.91,False,False,False
2019-05-31,2854.71,-0.01690543425855784,0.04828090172332122,16.721818181818183,0.1571651360249524,1283.7,False,False,True
2019-06-30,2890.17,0.012421576972792447,0.125758089206212,15.836000000000002,0.3351789598576229,1359.04,False,False,True
2019-07-31,2996.1136363636365,0.03665654143653718,0.006190603544919737,13.305909090909092,0.025776496958052952,1412.89,False,False,False
2019-08-31,2897.498181818182,-0.03291445736522314,0.05177692580319215,18.97909090909091,-0.06135629709364909,1500.41,False,False,False
2019-09-30,2982.156,0.029217556964503455,0.06354396251043148,15.559000000000001,-0.10216399234506113,1510.58,False,False,False
2019-11-30,3104.9045,0.04116099224856118,0.06925563055306827,12.5235,-0.0341419586702606,1470.79,False,False,False
2019-12-31,3176.7495238095235,0.023139205669457263,0.11280989095548177,13.756666666666666,0.0037026066350711595,1479.13,False,False,False
2020-01-31,3418.701363636364,0.07616333551431365,0.18287206760722174,13.94095238095238,-0.09832995161542046,1560.67,False,False,False
2020-02-29,3277.3142105263164,-0.041356976837444104,0.09385510974943223,19.628947368421052,-0.1594036697247706,1597.1,False,False,False
2020-03-31,2652.3936363636367,-0.19068070194658615,-0.08459178576627846,57.73681818181819,-0.7565174618789966,1591.93,True,True,False
2020-04-30,2761.975238095238,0.04131423037262105,-0.07383274446566901,41.453809523809525,-0.6946037099494098,1683.17,True,True,False
2020-05-31,2919.615,0.05707500912045682,-0.05967639262334812,30.897000000000002,-0.47054263565891474,1715.91,True,True,False
2020-06-30,3104.6609090909087,0.06338024331663905,-0.022692571188982824,31.119545454545456,-0.3855688357680389,1732.22,False,True,False
2020-07-31,3207.6190909090906,0.033162456330321,-0.061743407883615764,26.840454545454545,-0.2534187294443483,1846.51,True,True,False
2020-08-31,3391.71,0.05739176126387724,0.03490534691677083,22.88952380952381,-0.11869031377899053,1968.63,False,False,False
2020-09-30,3365.5166666666664,-0.007722751453789867,0.26886017992438815,27.64761904761905,1.7138047138047137,1921.92,False,True,True
2020-11-30,3548.992500000001,0.05451639421386556,0.2849472547941885,24.9955,0.37159590043923885,1866.3,False,False,True
2020-12-31,3695.31,0.04122789777662206,0.26568400285654103,22.37409090909091,0.2300672430355426,1858.42,False,False,True
2021-01-31,4460.707142857143,0.20712663967492384,0.43677756556135616,24.91,0.2810108972872709,1866.98,False,False,True
2021-02-28,3883.4321052631576,-0.12941334615933398,0.21068992146524823,23.140526315789476,0.456435205661212,1808.17,False,False,True
2021-03-31,3910.5082608695648,0.00697222324801583,0.1529606779086552,21.84304347826087,0.5761786600496279,1718.23,False,False,True
2021-04-30,4141.176190476191,0.05898668771903659,0.23047264376728416,17.416190476190476,0.8642994770162402,1760.04,False,False,True
2021-05-31,4167.849500000001,0.006440998474093851,0.17437540372373284,19.7605,0.4807856532877881,1850.26,False,False,True
2021-06-30,4238.489545454546,0.016948799483893273,0.14699160434565584,16.956818181818182,0.5021475985942991,1834.57,False,False,True
2021-07-31,4363.7128571428575,0.029544324775462538,-0.02174415011072861,17.603333333333335,0.40669683257918554,1807.84,False,False,True
2021-08-31,4454.206363636363,0.020737731710595675,0.1469767573893317,17.472727272727273,0.11524445794108718,1785.28,False,False,True
2021-09-30,4445.543333333333,-0.0019449099560706617,0.1368198292323246,19.824761904761903,0.22496851385390415,1775.14,False,False,True
2021-11-30,4667.386666666667,0.049902411628724996,0.1270678792659552,18.50047619047619,0.021626297577854725,1821.76,False,False,False
2021-12-31,4674.772727272726,0.00158248311818876,0.1216270470593348,21.354545454545455,0.003899142188718452,1790.43,False,False,False
2022-01-31,4573.8155,-0.021596178715542647,0.07911449372455448,23.181,0.18823983530622734,1816.02,False,False,True
2022-02-28,4435.980526315789,-0.030135665438234427,0.016561050540857103,25.748421052631578,0.40340367597004767,1856.3,False,True,True
2022-03-31,4391.265217391306,-0.01008014094273324,-0.0141307207404896,26.968695652173913,0.3788716103328622,1947.83,False,True,True
2022-04-30,4391.295999999999,7.0099634545961464e-06,-0.012202632899015797,24.3735,0.3039711191335741,1936.86,False,False,True
2022-05-31,4040.36,-0.07991627073192042,-0.13434213007136053,29.313636363636363,0.7715213096246119,1848.5,True,True,True
2022-06-30,3898.946666666668,-0.035000181501978034,-0.1659601665937409,28.23318181818182,0.5507509062661835,1836.57,True,True,True
2022-07-31,3911.729499999999,0.003278535057331,-0.1447557296528469,24.995238095238093,0.2074715755278831,1732.74,True,False,True
2022-08-31,4158.5630434782615,0.06310087225567673,-0.06253802991058899,22.169565217391302,-0.063348855258052,1764.56,True,False,False
2022-09-30,3850.520476190475,-0.0740742809636803,-0.12314098885652547,27.34181818181818,-0.17140460434336846,1680.78,True,True,False
2022-11-30,3917.488571428571,0.01739195925646686,-0.10789694627085678,23.29909090909091,-0.3180116306858918,1725.07,True,False,False
2022-12-31,3912.380952380953,-0.0013037993486105792,-0.031675159544953146,21.784285714285716,-0.30856570379028225,1797.55,False,False,False
2023-01-31,3960.6565,0.012339173563777894,0.015827308914202032,20.16904761904762,-0.25190565868531967,1897.71,False,False,False
2023-02-28,4079.684736842105,0.030052653352317993,0.04293631163456113,20.1205,-0.13816675297773173,1854.54,False,False,False
2023-03-31,3968.559130434783,-0.027238772987478233,-0.04568979983156807,21.644347826086957,-0.10922384701912269,1912.73,False,False,False
2023-04-30,4121.467368421053,0.03852991298872688,0.0703663034402664,17.817894736842106,-0.12840300107181146,1999.77,False,False,False
2023-05-31,4146.173181818183,0.005994421692241847,0.05837531015597053,17.63608695652174,-0.15921037262002102,1992.13,False,False,False
2023-06-30,4345.372857142857,0.04804422453895696,0.1106722249269716,14.003181818181817,-0.10033808258874655,1942.9,False,False,False
2023-07-31,4508.075500000001,0.03744273465272263,0.13821420766986492,13.932380952380951,0.021577559338288088,1951.02,False,False,False
2023-08-31,4457.358695652174,-0.011250211836032253,0.0925743000186845,15.85391304347826,0.0490325682009376,1918.7,False,False,False
2023-09-30,4515.77,0.013104465746677008,0.13788653553595065,15.173333333333332,0.21050637706781172,1915.95,False,False,True
