,06L.SG,07K.F,0A6X.L,0A7W.L,0HL8.L,0I3G.L,0TD7.L,0U8N.L,1010.SR,1020.SR,17SA.F,29P.F,29P.MU,9IFA.F,ABQK.QA,AESGENER.SN,AGUAS-A.SN,AHCS.QA
2013-07-31,,-0.03450858826164005,,,,,,,0.03505155573834462,0.19157071729374975,,,,,-0.06842057978077842,,0.01726141304116413,-0.007633472420023213
2013-08-31,,-0.10711513900509628,,,,,,,0.007968191996797769,-0.0032152698918885836,,,,,0.035781142040470115,,-0.04483016182601385,0.020979513970243557
2013-09-30,,-0.04002986770724559,,,,,,,0.03952548249183452,-0.012903109777963273,,,,,0.014545405107254439,,-0.003438365069278637,-0.0205484181447102
2013-11-30,,-0.21426724864084745,,,,,,,0.014184155047744618,0.1155016717805335,,,,,-0.054054228765603396,,0.0074946562564282004,0.05403556010862598
2013-12-31,,0.0,,,,,,,0.020979075550482396,0.02452310005335323,,,,,0.047618934580091254,,-0.025274483815400317,-0.0013317475435778992
2014-01-31,,0.0,,,,,,,0.26027402729868876,0.045212786511470204,,,,,0.16000034881396719,,0.06463787473233662,-0.01799970390380745
2014-02-28,,0.045441689078632885,,,,,,,0.027174041444262498,-0.0025446568053513197,,,,,0.03714730306175795,,-0.037013252435639354,-0.04276983509772725
2014-03-31,,0.08697808701546728,,,,,,,-0.05648342758341729,0.06632667441915197,,,,,0.0019644566890377746,,-0.004299287637151039,0.0666660720612462
2014-04-30,,-0.08001825248776118,,,,,,,0.002865355204853648,-0.04306241909457709,,,,,0.01960787441008116,,0.026174657072177254,0.13763305804945158
2014-05-31,,-0.043466497991563324,,,,,,,0.07142855812369775,0.0699734520540447,,,,,-0.03653847400083443,,0.0581323001140055,-0.02980678429790995
2014-06-30,,-0.13637220728091137,,,,,,,-0.04266661404796024,-0.0467290103298732,,,,,-0.0019959415507228018,,-0.02172893477643456,-0.08855438546698757
2014-07-31,,0.15790622815825595,,,,,,,0.08423430425601608,0.09477121855441495,,,,,0.04199999372515273,,0.03518250940825496,0.07005933752379367
2014-08-31,,0.13637220728091148,,,,,,,0.22572217976347386,0.11044784858520673,,,,,0.017274676795398403,,0.0281372090630716,0.0037065202852604173
2014-09-30,,-0.08001825248776118,,,,,,,-0.09635994654678615,-0.0349462283182741,,,,,0.009433974674352585,,-0.06659815694085636,-0.03015410712184674
2014-11-30,,-0.043466497991563324,,,,,,,-0.08883250210836313,-0.11501587821310955,,,,,-0.02522532764723673,,0.05216270660945921,-0.06800001744949935
2014-12-31,,0.09088337815726577,,,,,,,-0.05292494804470049,-0.003610226874960265,,,,,0.009242159661320581,,-0.03774394492950239,0.08655220113146167
2015-01-31,,0.04169907621150659,,,,,,,0.03235290419100423,0.003623307838294343,,,,0.07034237481701089,0.0329672153860201,,0.0519023391471336,-0.042132597200502775
2015-02-28,,0.0,,,,,,,0.008547131304571742,0.05342954627752583,,,,-0.0005823015694568223,0.02195732955556884,,0.011656377001487916,0.2680405706332736
2015-03-31,,-0.12000663726827676,,,,,,,-0.050847731079591174,-0.03701167092411106,,,,0.015225725756042419,-0.03725507095174374,,-0.004521875923579222,-0.08199160176210707
2015-04-30,,-0.22730263786228833,,,,,,,0.07895944095362806,0.1494662422385793,,,,-0.0027929809181393983,-0.054990075790866344,,-0.010041894261074047,0.06758512097738589
2015-05-31,,0.23529767962005943,,,,,,,0.007323883764512429,-0.04117654535520188,,,,-0.012315328185819263,0.0021554047488705486,,0.014772378660725671,-0.09649662854638752
2015-06-30,,-0.2856931856068784,,,,,,,-0.06767347385262634,-0.08266053192341594,,,,0.0027578319458645417,0.010752739289631608,,0.02739738961955407,0.021088408850716833
2015-07-31,,-0.06671724021118541,,,,,,,-0.011168412816685236,-0.053150519040092936,,,,-0.03083475193594898,0.07446810721520847,,-0.019271553667929542,-0.02465038471043257
2015-08-31,,-0.07141275579355333,,,,,,,-0.099132522899536,-0.1951672865955738,,,,-0.0888924700421625,-0.013861451048506113,,0.0065035734051832605,-0.07103803503210271
2015-09-30,,-0.15380939554043216,,,,,,,-0.03645105639051749,-0.06327940785370612,,,,-0.044483313742672115,0.00401618655834346,,0.008382771034932679,-0.007352837719001526
2015-11-30,,0.0,,,,,,,-0.05194815134995168,-0.033276969442719295,,,,0.07280028281471562,0.053191630160011716,,-0.028541786806911884,-0.15172415805891992
2015-12-31,,-0.07690473484220783,,,,,,,0.0008056085441343619,-0.054259012766152526,,,,-0.1408648050174447,-0.06969697662071794,,0.029097295205499085,0.13739828939876153
2016-01-31,,0.08331180729115961,,,,,,,-0.06602224293327641,-0.20789645141205992,,,,-0.10838356594818277,0.042345247418255294,,0.002395502283750961,-0.12794843506473996
2016-02-29,,0.3076984958632476,,,,,,,-0.01724146229363055,-0.0007788221942615081,,,,0.13943142201780812,-0.07028990404434354,,0.012046338572571536,-0.011475489323343635
2016-03-31,,0.4117860777203566,,,,,,,-0.013157824999974865,0.03663297633525642,,,,0.06035653782612127,0.16504881099588897,,0.05714064381587303,0.0605306627288249
2016-04-30,,0.4166882730298933,,,,,,,0.02201838005826029,0.07142854420804312,,,,0.15649513976992258,-0.09687509177223419,,2.63072408739351e-05,0.022674056490824324
2016-05-31,,-0.11764526455083446,,,,,,,-0.008079072417972566,-0.10877187241630681,,,,0.10263197789603806,0.04959643059417518,,0.030107442100678394,-0.01758419464996197
2016-06-30,,0.13333102869442515,,,,,,,-0.013574747720838443,0.011811013409075644,,,,-0.008665790231374482,-0.10549447271070422,,-0.00039501589951440597,0.003112882810128559
2016-07-31,,0.0,,,,,,,0.027375659326095203,-0.08949405407260302,,,,0.09028883920708086,-0.009828016131482986,,0.042379901835375655,0.0426687430948296
2016-08-31,,0.5294189417966619,,,,,,,-0.041474741285358,-0.029914753457790044,,,,-0.05686058513123038,0.004962664599223343,,0.030777116525833925,0.14360108321659082
2016-09-30,,-0.038450799418259796,,,,,,,-0.03365366659682645,-0.12334813049081139,,,,0.03154258695360346,-0.011111148872378851,,0.03556968239384606,-0.03773582534035813
2016-11-30,,0.3344953179214385,,,,,,,0.1300001249254934,0.11666673354222445,,,,0.05115560765443372,-0.026217101302532964,,-0.0205484676850316,-0.025735439356017076
2016-12-31,,-0.020408129131033403,,,,,,,0.02212391995086338,0.059701577218695956,,,,0.011370290674465933,0.0,,-0.17331211721707818,0.028679290400805968
2017-01-31,,-0.062499970896169765,,,,,,,-0.047618878895638206,-0.03169011633727903,,,,-0.027699868937027028,-0.0769231892591784,,0.027954146315159578,0.09904622206527058
2017-02-28,,-0.04444444996339281,,,,,,,-0.03181846099281016,-0.02181834870045085,,,,0.045868011457838254,0.023611294586931564,,-0.005029420500810677,0.028037274125381373
2017-03-31,,-0.16279076214672017,,,,,,,0.01946339273928821,0.23791847442644642,,,,-0.0012988511162398408,-0.0028726423879323892,,0.09866924699944657,-0.06818167969667077
2017-04-30,,-0.08333329883990315,,,,,,,-0.01895743090279256,-0.041186355029801947,,,,-0.010406490335186147,0.042646915882961434,,-0.01915730658571413,-0.040901606963555714
2017-05-31,,-0.18181815616191244,,,,,,,-0.01449303887373099,-0.04621844404045816,,,,0.056635761694405984,-0.13681201476740523,,0.03011834645204914,0.004548989672294779
2017-06-30,,0.2222221838961913,,,,,,,0.06862775004685151,0.03436117093813751,,,,-0.04313338004110512,0.0784310348526962,,0.041143860827127066,-0.14641510659323453
2017-07-31,,-0.09090910630285254,,,,,,,0.002541147640210628,0.07325400533296178,,,,-0.02313106440780366,-0.037878575651583146,,0.052295699840196885,-0.000884164544409316
2017-08-31,,-0.09999995653827887,,,,,,,0.05860118007531523,-0.006349249898856879,,,,0.00905780417636537,-0.051968820989728326,,-0.01930200681651051,-0.0840707436386926
2017-09-30,,-0.07407408429434903,,,,,,,0.05178552690140803,0.10702864408521218,,,,0.07039868188971554,-0.05149478648361705,,0.009018751801702196,-0.17777779481487788
2017-11-30,,-0.16666669253673794,,,,,,,-0.0033554662492204512,0.02725743153923199,,,,-0.03887446873994371,0.12933335919581346,,-0.10201381512005558,-0.1121371413257688
2017-12-31,,-0.0500000093132259,,,,,,,0.05892233781730982,0.053068042721784,,,,0.00937589970635111,0.15082638762773226,,0.09413184680344155,0.28974752798352266
2018-01-31,,0.2105263570669298,,,,,,,0.09697931076251409,0.13858250206847833,,,,0.014138874803081736,-0.14080511816478125,,0.013199423364860907,-0.028801959988643877
2018-02-28,,0.0,,,-0.03262084553962763,0.03605771655514478,-0.040607588748535206,-0.08117501653476689,-0.04637674605006559,-0.12309828875872197,,,,0.02938402911721627,0.035181646665564115,,-0.02074153232161391,0.05338077547422193
2018-03-31,,-0.21739133955850942,,,-0.059948401109187865,-0.07308586111426119,-0.025955636958418515,0.036399616245787136,0.08375395527999396,-0.03699398206156901,,,,-0.020042313248989863,-0.018691558604177372,,-0.011823087321934156,0.09009008919561112
2018-04-30,,0.11111113410673124,,,-0.12133851399571804,-0.23529407903107646,0.05926563387855355,0.06503744830798452,0.08069157168088714,0.23076927836990913,,,,0.07410725610184765,-0.011110990661172049,,0.03767527271167759,0.2114407607500206
2018-05-31,,-0.0500000093132259,,,-0.16805826294130388,-0.11456632910082487,-0.11974411137787644,-0.04882625272178753,-0.013333309961089612,0.09614061911587779,,,,0.03671380654581058,-0.036918143488108734,,-0.0650611535642146,-0.1686204119390632
2018-06-30,,0.05263158926673239,,,-0.19421269470546387,0.0,0.008840032326532077,0.0,0.09864881982706875,0.002717358585721419,,,,-0.02554418042522999,0.03333309393910722,,-0.02649803279486529,-0.024945708272147593
2018-07-31,,-0.10000001862645191,,,0.0,0.0,0.12670238566211922,0.02423274527500041,0.1133769228834951,0.042005430281538914,,,,0.03604390868008123,0.02258092752461982,,0.04045042916211705,0.13459385301884397
2018-08-31,,-0.05555546357307506,,,0.0,0.0,0.0,-0.022238218568273016,-0.09039541868306966,-0.048114240233829264,,,,-0.03306473226658646,-0.05015771185752205,,-0.016273209739428474,-0.05784300101363504
2018-09-30,,-0.05882353585690325,,,0.0,0.0,0.0,-0.044638222887682155,0.03229814041469403,-0.013661496415167229,,,,-0.008326065537646588,0.009631220510618821,,-0.002875749265085936,0.019771040020059694
2018-11-30,,0.2142857427955882,,,0.4246569693589335,0.0,-0.08481348053334203,-0.005969550727235484,0.009227049129288734,-0.024999815379702972,,,,0.07987632275562495,-0.053627802324554774,,0.07041241870583215,-0.015974263302118485
2018-12-31,,0.0,,,0.011434795258379538,0.0,0.0,-0.030744368637314112,0.13257141564412422,0.017093927696062883,,,,-0.006020803045078682,-0.06666679765596017,,-0.014915980853529187,-0.043290185873431475
2019-01-31,,0.3529411055740639,,,0.0,0.0,0.0,0.0,0.14328960083011766,0.17366948103128954,,,,0.11970000923774204,0.10678589081535939,,0.033940987121346744,0.09389143120325039
2019-02-28,,0.0,,,0.0,0.0,0.0,0.0,-0.015886932372731866,-0.04057300292350896,,,,-0.0059247070340070485,0.06577269765944904,,-0.009287955761692612,0.013443696834694707
2019-03-31,,-0.04347826791170184,,,0.0,0.0,0.0,0.10630091501008043,0.09835825751097294,0.03855732987008187,,,,0.0469033324820598,-0.023793205203040513,,0.007552092596621485,0.010204052114660911
2019-04-30,,-0.09999999999999998,,,0.0,0.0,0.0,0.018224007010655185,0.2396178698933471,-0.006572015067896841,,,,0.03402080121117024,0.05969612653465939,,0.007986688342877413,-0.0333716514754282
2019-05-31,,-0.14141409010160255,,,0.0,0.0,0.0,-0.08841629457757061,-0.11222762798862962,-0.09553348209652734,,,,-0.020024997007740297,-0.06633315216770541,,0.04253203255218607,-0.13000003659439974
2019-06-30,,0.08235290637272219,,,0.0,0.0,0.0,0.0,0.016981144491943434,0.04801085218787371,,,,-0.0022988786360477187,0.046054936256525014,,0.02171125588930467,0.014048584625904859
2019-07-31,,-0.22826088166888947,,,0.0,0.8336414706257727,0.0,0.0,-0.017288791769907164,-0.009162195625257996,,,,-0.002304106140288198,0.08532407699835809,,-0.01487502837984589,-0.0025189100965876676
2019-08-31,,0.042253514660525626,,,-0.018293875636341106,0.0,0.0,-0.07848525475114942,-0.015384696133308506,-0.09019880239313383,,,,-0.09982042277883363,-0.025156912207510485,,0.007486474238316498,-0.04924233948315959
2019-09-30,,0.013513490553588747,,,0.0,0.0,0.0,0.012069350415605973,-0.04687505603267261,0.0014814648999266211,,,,0.04332951272720065,0.09677413783495115,,0.004533746959271667,-0.07038527109897641
2019-11-30,,-0.3448275884216947,,,0.021407840789608557,0.0,0.0,-0.030392237250442156,-0.009009389614691887,0.04447852722923318,,,,-0.016393544783936842,0.0,,-0.0323530186717631,0.03546097318631647
2019-12-31,,0.2631579463336624,,,0.0,0.0,0.0,0.003477328634734045,0.09090913192045491,0.104258467034954,,,,-0.005555414762567157,-0.027777860402177224,,-0.030395092342489827,0.11369854758548392
2020-01-31,,-0.12500001940255345,,,-0.053552575198111185,0.0,0.08394568058408813,-0.001540135450668001,-0.018333390538487926,0.0,,,,0.022346330156415295,0.02857151598467822,,-0.039158615272657404,-0.018450272413203073
2020-02-29,,-0.42857141590037295,,,0.0,0.0,0.0,-0.13959986520633239,-0.05772457617345905,-0.07446800551659982,,,,-0.09836067519694036,0.015753333250047907,,-0.06663335878773202,-0.11904747632738
2020-03-31,,-0.9166666634329077,,,0.0,0.0,-0.3569232900607313,-0.24326295076878401,-0.30026230165595735,-0.18534488781346392,,,,-0.26060609950282165,0.005000933654683681,,-0.10003220640657295,-0.14651494677823906
2020-04-30,,34.999996740371145,,,0.0,0.0,0.007001617955843864,0.13747043736318298,0.13770053294430862,0.08380620416836027,,,,-0.00092086277775838,-0.029850659290281967,,0.11111120948423991,0.07142854342265337
2020-05-31,,-0.7777777576566102,,,0.0,0.0,0.0,-0.027051304419057787,0.025851833642453803,-0.040066731019074986,,,,0.0,0.003076613492608571,,-0.16035705606043105,0.08333319610433088
2020-06-30,,1.374999810825111,,,-0.4525014984244782,0.0,0.0,-0.03252111094098564,-0.034364124784334704,-0.017391339890708846,,,,0.01769897803074083,-0.027607187759717156,,0.18332617944495389,0.14461557239448686
2020-07-31,,0.4736843034005922,,,0.0,0.0,0.0,-0.0634604174913257,0.004744938979772906,0.060176977652645514,,,,-0.08695640753255918,0.041009653786124645,,-0.043350108303092716,0.03360211854027706
2020-08-31,0.7142856762725491,0.10714280487475514,,,0.0,0.0,0.0,0.0,0.13223121669067672,0.09015030827881465,,,,-0.04761903905679299,0.0,,-0.12452080636565821,0.2093627986940605
2020-09-30,-0.2916666343290776,-0.4516128644610785,,,0.0,0.0,-0.10110440018508005,-0.015618785463555551,-0.02815427922856273,0.07350698120495358,,,,-0.029999956576525988,-0.0030303923655606857,,-0.055794401561962914,0.007526877997101167
2020-11-30,0.31249991996447,0.2222221838961913,,,0.0,-0.12116932006674952,0.0,0.2878407683995856,0.15666691601300653,0.05376343050824195,,,,0.5087719169113432,0.024679756478513504,,0.1002140023300675,0.06249994282124893
2020-12-31,0.09523811213283606,0.18181821260570508,,,0.0,0.0,0.0,0.07188308152092415,-0.029779165097209903,-0.004373243933114779,,,,-0.046511657404846196,0.05091470591415481,,0.08398485394405908,0.005882399538893246
2021-01-31,-0.21739133955850942,0.33333333333333326,,,0.1762397001193352,0.3351685929399224,0.0,-0.07614946989645333,0.02574258901451132,-0.023426111203829758,,,,0.04065034826782954,0.04728752701636707,,-0.02615847787744463,-0.015204695382642575
2021-02-28,0.11111113410673124,0.24999992835980334,,,-0.06476095109151281,0.2886597558053079,0.21695501997056743,0.08039334911626961,-0.03571437220595863,0.005997131985177706,,,,0.09375006760335247,0.1500711085626174,,-0.06950685940256973,0.09619946712988292
2021-03-31,-0.0500000093132259,-0.169230717208962,0.03461554887610485,,0.1233112131908416,-0.06266663869222,0.09347785868485547,-0.1656347985387392,0.14860237730221848,0.1669151596936449,,,,-0.1214285765659242,-0.09498758115859607,,0.07416881687994081,0.07751305226822658
2021-04-30,0.05263158926673239,0.037037042147174404,0.039033598162414584,,0.015027133142747617,0.20470130222663951,0.01035863378730384,-0.12075360707304383,0.18761137024472352,0.22094496379238993,,,,-0.12409085457725477,0.02464686312375619,,-0.09372343629859348,-0.01047116026549011
2021-05-31,0.05000000931322601,0.0,0.22647572790852788,,0.15908467763292622,-0.006382114045436649,0.0953882647171056,0.09654987538872684,-0.013133161869345544,-0.03451885819666356,,,,0.08653839975522515,0.013513571758349885,,-0.2786105455997042,0.05925930553330683
2021-06-30,0.04761905606641803,-0.23214285476703433,-0.003792302014539284,,0.024041369183483763,0.14070113138753548,0.011394879436630756,-0.07967397974428558,0.02679710632899468,0.0021668517432551493,,,,-0.07964596536553192,-0.026666696685368363,,0.09190849733752282,-0.017982081387095228
2021-07-31,-0.09090910630285254,-0.046511633951255016,-0.06588564761297944,,-0.07724449097474306,0.16741330917636588,-0.015239535618480127,-0.17945560699025942,-0.011320802711489941,0.04756758157650065,,,,-0.19230784058745964,0.05753430454916142,,0.02185428994533911,-0.03763986214219517
2021-08-31,0.15000002793967782,0.1463413924989374,0.012538993617543293,,-0.029305413102704736,-0.13112621478368758,0.0,0.05804774972907545,0.0267174967955508,-0.02657530757896398,,,,0.11309533882829581,0.023316014955884423,,0.12203499677231044,0.04756865750799877
2021-09-30,-0.08695653582340379,-0.04255312065993755,-0.1362230476063685,,-0.1536230668365045,0.18657954574950053,0.05304988248831055,0.0782962417654749,0.003717488278597081,-0.005399552876390823,,,,-0.005347539728242534,0.015189843355730037,,-0.05851082981636968,0.021190698700900512
2021-11-30,0.0,-0.062499970896169765,-0.047138008780315044,,-0.02714861088204734,-0.27484813982760725,-0.15654593702106268,-0.10430299642018281,-0.039450933192865634,-0.04016913336427075,,,,-0.02479334029796909,0.03916440772589591,,0.1913842742033942,-0.058181828404176184
2021-12-31,0.0,-0.20000006622738042,0.016377951728920204,,-0.0015132493386540435,0.19906161515866594,0.08421849170357398,0.04589205581310152,-0.032142909491196026,0.0627753730275653,,,,0.014762195517490362,-0.03768836522375041,,-0.12429371657915189,0.046332054975319004
2022-01-31,-0.045454553151426325,-0.19444443294663438,0.012590006914601437,,0.24369092131916337,-0.05366121393095935,-0.023117888380948748,0.12218572385393256,0.2546123541249017,0.19792735550733043,,,,0.1982757571022411,0.08355065483836777,,0.23870973717076893,0.008302612870430881
2022-02-28,0.0,0.03448276526508387,0.03019540270428922,,-0.09588042278585551,0.14500885289148635,0.04160600244448576,0.047667830836062075,0.04411763813356706,0.17813524889417143,,,,0.02158277950262555,-0.0028525304736196633,,-0.12239600962110675,0.09698082535753572
2022-03-31,0.04761905606641803,-0.033333339542150675,0.12068957917152612,,0.21195634057414958,-0.20118651153761424,0.05457302115598961,0.21757059004611712,0.05774657102184633,-0.018621913566826187,,,,0.0915492368182309,0.03684214145419484,,0.03743056501362019,0.011024788982174405
2022-04-30,0.09090910630285265,0.17241389055456469,-0.08553858701125638,,-0.1561009799529699,0.14530196987793276,-0.04939668820571308,-0.2061879275653924,0.10117954283479835,0.20113850005155864,,,,-0.11913973451738702,0.015228440823701339,,-0.10708973629818697,0.00945008485840182
2022-05-31,0.0,0.029411713144773755,-0.007402472625715695,,0.19775569947248117,-0.12940518471866957,-0.033310149625504604,0.049636448525643306,-0.06004907505737922,-0.09320692257021379,,,,-0.03125015086404581,0.037500034995438414,,0.15160003708617031,-0.03404255612421414
2022-06-30,0.12500001940255356,-0.114285732532034,-0.13559302562051911,,-0.22899859115114674,-0.288082906418914,-0.11249674217758798,-0.0988890459679922,-0.1629726302138116,-0.2229965471573272,,,,-0.10483849796985067,-0.05542173659774863,,-0.14524716868343013,-0.052863321924804585
